CMDLINE /usr/local/bin/python3 app.py
MEM 0.187500 1737755999.2017
MEM 24.156250 1737755999.3069
MEM 36.578125 1737755999.4120
MEM 48.046875 1737755999.5171
MEM 51.218750 1737755999.6221
MEM 58.312500 1737755999.7272
MEM 63.765625 1737755999.8323
MEM 64.984375 1737755999.9325
MEM 66.718750 1737756000.0377
MEM 68.312500 1737756000.1401
MEM 70.140625 1737756000.2439
MEM 72.375000 1737756000.3464
MEM 73.000000 1737756000.4487
MEM 79.187500 1737756000.5538
MEM 83.546875 1737756000.6590
MEM 84.515625 1737756000.7614
MEM 89.031250 1737756000.8664
MEM 91.687500 1737756000.9715
MEM 98.781250 1737756001.0766
MEM 100.984375 1737756001.1813
MEM 102.796875 1737756001.2847
MEM 104.875000 1737756001.3898
MEM 106.687500 1737756001.4925
MEM 105.140625 1737756001.5976
MEM 106.187500 1737756001.7028
MEM 107.500000 1737756001.8080
MEM 109.468750 1737756001.9103
MEM 111.703125 1737756002.0108
MEM 113.406250 1737756002.1160
MEM 117.078125 1737756002.2185
MEM 120.593750 1737756002.3236
MEM 122.437500 1737756002.4286
MEM 127.312500 1737756002.5338
MEM 127.703125 1737756002.6389
MEM 129.796875 1737756002.7440
MEM 134.078125 1737756002.8491
MEM 138.296875 1737756002.9542
MEM 140.390625 1737756003.0593
MEM 142.468750 1737756003.1644
MEM 143.734375 1737756003.2696
MEM 145.281250 1737756003.3748
MEM 147.265625 1737756003.4800
MEM 148.796875 1737756003.5803
MEM 150.984375 1737756003.6854
MEM 153.250000 1737756003.7904
MEM 155.781250 1737756003.8955
MEM 156.484375 1737756004.0006
MEM 159.312500 1737756004.1015
MEM 165.234375 1737756004.2066
MEM 165.140625 1737756004.3117
MEM 164.625000 1737756004.4169
MEM 164.671875 1737756004.5207
MEM 164.218750 1737756004.6244
MEM 164.218750 1737756004.7291
MEM 164.218750 1737756004.8344
MEM 164.109375 1737756004.9369
MEM 164.109375 1737756005.0403
MEM 164.109375 1737756005.1439
MEM 164.109375 1737756005.2491
MEM 164.109375 1737756005.3510
MEM 164.109375 1737756005.4561
MEM 164.109375 1737756005.5613
MEM 163.984375 1737756005.6616
MEM 163.984375 1737756005.7668
MEM 163.828125 1737756005.8702
MEM 163.828125 1737756005.9754
MEM 163.250000 1737756006.0797
MEM 163.250000 1737756006.1849
MEM 163.171875 1737756006.2901
MEM 177.468750 1737756006.3952
MEM 211.140625 1737756006.5003
MEM 235.000000 1737756006.6056
MEM 246.906250 1737756006.7107
MEM 254.984375 1737756006.8158
MEM 258.734375 1737756006.9209
MEM 263.937500 1737756007.0213
MEM 271.312500 1737756007.1265
MEM 275.265625 1737756007.2303
MEM 287.984375 1737756007.3354
MEM 289.484375 1737756007.4405
MEM 293.687500 1737756007.5455
MEM 295.531250 1737756007.6506
MEM 295.609375 1737756007.7557
MEM 299.000000 1737756007.8607
MEM 297.765625 1737756007.9658
MEM 297.453125 1737756008.0709
MEM 297.765625 1737756008.1760
MEM 298.031250 1737756008.2811
MEM 298.281250 1737756008.3861
MEM 298.312500 1737756008.4911
MEM 298.609375 1737756008.5962
MEM 301.390625 1737756008.6995
MEM 303.796875 1737756008.8012
MEM 313.703125 1737756008.9064
MEM 325.718750 1737756009.0102
MEM 334.218750 1737756009.1153
MEM 340.609375 1737756009.2204
MEM 347.156250 1737756009.3254
MEM 354.546875 1737756009.4303
MEM 359.031250 1737756009.5355
MEM 395.765625 1737756009.6369
MEM 429.203125 1737756009.7420
MEM 436.171875 1737756009.8474
MEM 436.890625 1737756009.9525
MEM 436.921875 1737756010.0578
MEM 436.156250 1737756010.1605
MEM 436.562500 1737756010.2626
MEM 439.343750 1737756010.3677
MEM 432.640625 1737756010.4728
MEM 438.015625 1737756010.5779
MEM 438.343750 1737756010.6802
MEM 439.765625 1737756010.7853
MEM 436.750000 1737756010.8856
MEM 327.625000 1737756010.9940
MEM 313.109375 1737756011.0944
MEM 275.640625 1737756011.1995
MEM 275.453125 1737756011.3046
MEM 267.640625 1737756011.4098
MEM 263.953125 1737756011.5102
MEM 234.328125 1737756011.6104
MEM 185.484375 1737756011.7123
MEM 242.328125 1737756011.8175
MEM 244.312500 1737756011.9218
MEM 253.375000 1737756012.0269
MEM 269.843750 1737756012.1320
MEM 269.843750 1737756012.2371
MEM 269.843750 1737756012.3422
MEM 269.843750 1737756012.4473
MEM 269.843750 1737756012.5510
MEM 269.843750 1737756012.6570
MEM 269.843750 1737756012.7582
MEM 269.843750 1737756012.8635
MEM 269.843750 1737756012.9683
MEM 275.796875 1737756013.0735
MEM 275.812500 1737756013.1786
MEM 275.812500 1737756013.2837
MEM 275.812500 1737756013.3887
MEM 275.812500 1737756013.4938
MEM 275.812500 1737756013.5959
MEM 275.812500 1737756013.7002
MEM 275.812500 1737756013.8029
MEM 275.765625 1737756013.9080
MEM 275.765625 1737756014.0131
MEM 275.765625 1737756014.1148
MEM 275.765625 1737756014.2198
MEM 275.765625 1737756014.3249
MEM 275.765625 1737756014.4300
MEM 275.765625 1737756014.5351
MEM 275.765625 1737756014.6401
MEM 275.765625 1737756014.7452
MEM 275.765625 1737756014.8502
MEM 275.765625 1737756014.9553
MEM 275.125000 1737756015.0604
MEM 185.453125 1737756015.1656
MEM 185.453125 1737756015.2707
MEM 185.453125 1737756015.3758
MEM 185.453125 1737756015.4808
MEM 185.453125 1737756015.5859
MEM 185.453125 1737756015.6902
MEM 185.453125 1737756015.7953
MEM 185.453125 1737756015.8974
MEM 185.234375 1737756016.0025
MEM 185.234375 1737756016.1076
MEM 185.234375 1737756016.2103
MEM 184.078125 1737756016.3148
MEM 184.078125 1737756016.4199
MEM 184.078125 1737756016.5250
MEM 184.078125 1737756016.6301
MEM 184.078125 1737756016.7352
MEM 184.078125 1737756016.8403
MEM 184.078125 1737756016.9454
MEM 183.140625 1737756017.0504
MEM 181.562500 1737756017.1556
MEM 181.562500 1737756017.2603
MEM 181.515625 1737756017.3656
MEM 181.515625 1737756017.4703
MEM 181.515625 1737756017.5754
MEM 133.093750 1737756017.6803
MEM 131.015625 1737756017.7854
MEM 130.562500 1737756017.8881
MEM 130.562500 1737756017.9936
MEM 128.703125 1737756018.0973
MEM 106.812500 1737756018.2026
MEM 94.312500 1737756018.3047
MEM 89.109375 1737756018.4098
MEM 89.109375 1737756018.5149
MEM 89.109375 1737756018.6214
MEM 89.109375 1737756018.7261
MEM 89.109375 1737756018.8316
MEM 89.109375 1737756018.9331
MEM 83.265625 1737756019.0384
MEM 74.656250 1737756019.1393
MEM 69.328125 1737756019.2405
MEM 68.281250 1737756019.3436
MEM 68.234375 1737756019.4488
MEM 68.203125 1737756019.5532
MEM 68.093750 1737756019.6584
MEM 67.937500 1737756019.7636
MEM 61.468750 1737756019.8687
MEM 61.468750 1737756019.9706
MEM 61.468750 1737756020.0748
MEM 61.468750 1737756020.1799
MEM 61.468750 1737756020.2803
MEM 61.468750 1737756020.3854
MEM 61.468750 1737756020.5291
MEM 64.453125 1737756020.6346
MEM 64.453125 1737756020.7396
MEM 66.812500 1737756020.8430
MEM 71.140625 1737756020.9483
MEM 71.140625 1737756021.0518
MEM 71.140625 1737756021.1540
MEM 71.140625 1737756021.2592
MEM 71.140625 1737756021.3646
MEM 71.140625 1737756021.4697
MEM 71.140625 1737756021.5753
MEM 71.140625 1737756021.6808
MEM 71.140625 1737756021.7852
MEM 71.140625 1737756021.8898
MEM 71.140625 1737756021.9950
MEM 71.140625 1737756022.0956
MEM 71.140625 1737756022.1987
MEM 71.140625 1737756022.3011
MEM 71.140625 1737756022.4065
MEM 71.140625 1737756022.5095
MEM 71.140625 1737756022.6143
MEM 71.140625 1737756022.7157
MEM 71.140625 1737756022.8165
MEM 71.140625 1737756022.9218
MEM 71.140625 1737756023.0224
MEM 71.140625 1737756023.1227
MEM 71.156250 1737756023.2242
MEM 71.156250 1737756023.3295
MEM 71.156250 1737756023.4306
MEM 71.156250 1737756023.5350
MEM 71.156250 1737756023.6403
MEM 71.156250 1737756023.7426
MEM 71.156250 1737756023.8479
MEM 71.156250 1737756023.9531
MEM 71.156250 1737756024.0560
MEM 71.156250 1737756024.1566
MEM 71.203125 1737756024.2595
MEM 71.203125 1737756024.3650
MEM 71.203125 1737756024.4702
MEM 71.203125 1737756024.5724
MEM 71.203125 1737756024.6732
MEM 71.203125 1737756024.7782
MEM 71.203125 1737756024.8811
MEM 71.203125 1737756024.9862
MEM 71.203125 1737756025.0919
MEM 71.203125 1737756025.1974
MEM 71.203125 1737756025.3019
MEM 71.203125 1737756025.4065
MEM 71.203125 1737756025.5090
MEM 71.203125 1737756025.6147
MEM 71.203125 1737756025.7191
MEM 71.203125 1737756025.8289
MEM 71.203125 1737756025.9307
MEM 71.203125 1737756026.0359
MEM 71.203125 1737756026.1362
MEM 71.203125 1737756026.2411
MEM 71.203125 1737756026.3466
MEM 71.203125 1737756026.4509
MEM 71.203125 1737756026.5565
MEM 71.203125 1737756026.6604
MEM 71.203125 1737756026.7650
MEM 71.203125 1737756026.8727
MEM 71.203125 1737756026.9782
MEM 71.203125 1737756027.0815
MEM 71.203125 1737756027.1826
MEM 71.203125 1737756027.2851
MEM 71.203125 1737756027.3907
MEM 71.203125 1737756027.4961
MEM 71.203125 1737756027.6016
MEM 71.203125 1737756027.7070
MEM 71.203125 1737756027.8086
MEM 71.203125 1737756027.9096
MEM 71.203125 1737756028.0118
MEM 71.203125 1737756028.1135
MEM 71.203125 1737756028.2191
MEM 71.203125 1737756028.3208
MEM 71.203125 1737756028.4262
MEM 71.203125 1737756028.5309
MEM 71.203125 1737756028.6336
MEM 71.203125 1737756028.7353
MEM 71.203125 1737756028.8402
MEM 71.203125 1737756028.9456
MEM 71.203125 1737756029.0513
